VALUE,COUNT,REF,,,,,,,
1nF,1,C7,~,Kemet,C0603C102K3RACTU,DigiKey,$0.10/1 $0.02/10 $0.0108/50,,
2.2nF,1,C3,~,,,,,,
4.7nF,11,C53 C54 C55 C56 C57 C58 C59 C60 C61 C62 C63,~,Kemet,C0603C472K5RACTU,DigiKey,$0.10/1 $0.03/10 $0.0162/50,,
0.01uF,4,C4 C33 C34 C35,~,,,,,,
0.1uF,5,C1 C2 C24 C31 C42,~,,,,,,
0.1uF,15,C5 C6 C11 C15 C18 C19 C22 C23 C43 C45 C47 C48 C49 C50 C51,~,Kemet,C0603C104K4RACTU,DigiKey,$0.10/1 $0.022/10 $0.0118/50,,
0.1uF,1,C52,~,Kemet,C0603C104K4RACTU,DigiKey,$0.10/1, $0.022/10, $0.0118/50
1uF,8,C9 C10 C12 C14 C16 C17 C20 C21,~,Kemet,C0603C105K8PACTU,DigiKey,$0.10/1 $0.039/10 $0.021/50,,
1uF,4,C27 C28 C30 C32,~,,,,,,
2.2uF,4,C25 C39 C40 C41,~,,,,,,
2.2uF,1,C44,~,Kemet,C0603C225K8PACTU,DigiKey,$0.17/1 $0.113/10 $0.0676/50,,
10uF,2,C8 C46,~,Kemet,C0805C106Z8VACTU,DigiKey,$0.16/1 $0.111/10 $0.063/50,,
10uF,5,C26 C29 C36 C37 C38,~,,,,,,
100uF,1,C13,~,Vishay Sprague,TL8A0107M010C,DigiKey,$1.35/1 $1.128/10,,
USB,1,CON1,~,,,,,,
SMAJ7.0A,1,D1,~,,,,,,
BATTLO,1,D2,~,,,,,,
PGOOD,1,D3,~,,,,,,
CHARGE,1,D4,~,,,,,,
STAT,1,D5,~,Kingbright Company LLC,APT1608SRCPRV,DigiKey,$0.17/1 $0.131/10 $0.1044/25,,
CONN,1,D6,~,Kingbright Company LLC,APT1608SGC,DigiKey,$0.16/1 $0.117/10 $0.0936/25,,
PTC 500mA,1,F1,~,,,,,,
MHOLE,3,MTG1 MTG2 MTG3,~,,,,,,
JST,1,P1,~,,,,,,
CONN_5X2,1,P8,~,FCI,95278-101B10LF,Mouser,$0.86/1 $0.737/10 $0.673/100,,
CONN_14,1,P10,~,,,,,,
1.18k,1,R13,~,,,,,,
2.2k,4,R11 R14 R15 R16,~,,,,,,
2.2k,2,R17 R18,~,Stackpole Electronics,RMCF0603JT330R,DigiKey,$0.02/1 $0.017/10 $0.0092/50,,
4.7k,2,R4 R5,~,,,,,,
4.99K,12,R21 R22 R23 R24 R25 R26 R27 R28 R29 R30 R31 R32,~,Stackpole Electronics,RNCS0603BKE4K99,DigiKey,$0.70/1 $0.475/10 $0.2876/50,,
10K,2,R1 R2,~,Stackpole Electronics,RMCF0603JT10K0,DigiKey,$0.02/1 $0.017/10 $0.0092/50,,
10k,4,R6 R7 R19 R20,~,,,,,,
51.1k,1,R9,~,,,,,,
52.3k,1,R12,~,,,,,,
383k,1,R10,~,,,,,,
499K 0.10%,1,R3,~,Stackpole Electronics,RNCS0805BKE499K,DigiKey,$0.77/1, $0.523/10, $0.3162/50
562k,1,R8,~,,,,,,
DPDT,1,S1,~,,,,,,
NO BIAS FILT,1,SJ1,SparkFun-Passives-SJ_2S-NO,,,,,,
NTC 10K,1,TH1,~,,,,,,
GND,2,TP1 TP2,~,,,,,,
PREREG,1,TP3,~,,,,,,
-3V3,1,TP4,~,,,,,,
+2V5,1,TP5,~,,,,,,
-2V5,1,TP6,~,,,,,,
BTRST,1,TP7,~,,,,,,
3V3,1,TP8,~,,,,,,
MPU6050,1,U1,,,,,,,
LTC1998,1,U4,,,,,,,
BQ24074(T),1,U5,,,,,,,
ATUC3L064,1,U10,,Atmel,AT32UC3L064-AUT,DigiKey,$7.80/1 $4.898/25,,
BLUETOOTH-RN42,1,U11,,Microchip Technology,RN42-I/RM,DigiKey,$19.14/1 $15.95/10,,
OPA2376,1,U2,MSOP8,Texas Instruments,OPA2376AIDGKR,DigiKey,$2.73/1 $2.462/10 $2.206/25,,
ADS1299,1,U3,TQFP_64,Texas Instruments,ADS1299IPAG,DigiKey,$58.14/1,,
TPS60403,1,U6,~,,,,,,
TPS73233,1,U7,~,,,,,,
TPS73225,1,U8,~,,,,,,
TPS72325,1,U9,~,,,,,,
TPD4E001DBV,3,U12 U13 U14,~,,,,,,
