eeschema (2013-05-31 BZR 4019)-stable  >> Creation date: 7/23/2013 3:09:43 PM
#Cmp ( order = Reference )
| C1         0.1uF       ; Kemet       ; C0603C104K4RACTU; DigiKey     ; $0.10/1, $0.022/10, $0.0118/50;             ;             ;             ;             
| C2         1nF         ; Kemet       ; C0603C102K3RACTU; DigiKey     ; $0.10/1, $0.02/10, $0.0108/50;             ;             ;             ;             
| C3         10uF        ; Kemet       ; C0805C106Z8VACTU; DigiKey     ; $0.16/1, $0.111/10, $0.063/50;             ;             ;             ;             
| C4         1uF         ; Kemet       ; C0603C105K8PACTU; DigiKey     ; $0.10/1, $0.039/10, $0.021/50;             ;             ;             ;             
| C5         1uF         ; Kemet       ; C0603C105K8PACTU; DigiKey     ; $0.10/1, $0.039/10, $0.021/50;             ;             ;             ;             
| C6         0.1uF       ; Kemet       ; C0603C104K4RACTU; DigiKey     ; $0.10/1, $0.022/10, $0.0118/50;             ;             ;             ;             
| C7         1uF         ; Kemet       ; C0603C105K8PACTU; DigiKey     ; $0.10/1, $0.039/10, $0.021/50;             ;             ;             ;             
| C8         100uF       ; Vishay Sprague; TL8A0107M010C; DigiKey     ; $1.35/1, $1.128/10;             ;             ;             ;             
| C9         1uF         ; Kemet       ; C0603C105K8PACTU; DigiKey     ; $0.10/1, $0.039/10, $0.021/50;             ;             ;             ;             
| C10        1uF         ; Kemet       ; C0603C105K8PACTU; DigiKey     ; $0.10/1, $0.039/10, $0.021/50;             ;             ;             ;             
| C11        0.1uF       ; Kemet       ; C0603C104K4RACTU; DigiKey     ; $0.10/1, $0.022/10, $0.0118/50;             ;             ;             ;             
| C12        0.1uF       ; Kemet       ; C0603C104K4RACTU; DigiKey     ; $0.10/1, $0.022/10, $0.0118/50;             ;             ;             ;             
| C13        1uF         ; Kemet       ; C0603C105K8PACTU; DigiKey     ; $0.10/1, $0.039/10, $0.021/50;             ;             ;             ;             
| C14        1uF         ; Kemet       ; C0603C105K8PACTU; DigiKey     ; $0.10/1, $0.039/10, $0.021/50;             ;             ;             ;             
| C15        0.1uF       ; Kemet       ; C0603C104K4RACTU; DigiKey     ; $0.10/1, $0.022/10, $0.0118/50;             ;             ;             ;             
| C16        0.1uF       ; Kemet       ; C0603C104K4RACTU; DigiKey     ; $0.10/1, $0.022/10, $0.0118/50;             ;             ;             ;             
| C17        0.1uF       ; Kemet       ; C0603C104K4RACTU; DigiKey     ; $0.10/1, $0.022/10, $0.0118/50;             ;             ;             ;             
| C18        0.1uF       ; Kemet       ; C0603C104K4RACTU; DigiKey     ; $0.10/1, $0.022/10, $0.0118/50;             ;             ;             ;             
| C19        0.1uF       ; Kemet       ; C0603C104K4RACTU; DigiKey     ; $0.10/1, $0.022/10, $0.0118/50;             ;             ;             ;             
| C20        4.7nF       ; Kemet       ; C0603C472K5RACTU; DigiKey     ; $0.10/1, $0.03/10, $0.0162/50;             ;             ;             ;             
| C21        4.7nF       ; Kemet       ; C0603C472K5RACTU; DigiKey     ; $0.10/1, $0.03/10, $0.0162/50;             ;             ;             ;             
| C22        4.7nF       ; Kemet       ; C0603C472K5RACTU; DigiKey     ; $0.10/1, $0.03/10, $0.0162/50;             ;             ;             ;             
| C23        4.7nF       ; Kemet       ; C0603C472K5RACTU; DigiKey     ; $0.10/1, $0.03/10, $0.0162/50;             ;             ;             ;             
| C24        4.7nF       ; Kemet       ; C0603C472K5RACTU; DigiKey     ; $0.10/1, $0.03/10, $0.0162/50;             ;             ;             ;             
| C25        4.7nF       ; Kemet       ; C0603C472K5RACTU; DigiKey     ; $0.10/1, $0.03/10, $0.0162/50;             ;             ;             ;             
| C26        4.7nF       ; Kemet       ; C0603C472K5RACTU; DigiKey     ; $0.10/1, $0.03/10, $0.0162/50;             ;             ;             ;             
| C27        4.7nF       ; Kemet       ; C0603C472K5RACTU; DigiKey     ; $0.10/1, $0.03/10, $0.0162/50;             ;             ;             ;             
| C28        4.7nF       ; Kemet       ; C0603C472K5RACTU; DigiKey     ; $0.10/1, $0.03/10, $0.0162/50;             ;             ;             ;             
| C29        0.1uF       ; Kemet       ; C0603C104K4RACTU; DigiKey     ; $0.10/1, $0.022/10, $0.0118/50;             ;             ;             ;             
| C30        2.2uF       ; Kemet       ; C0603C225K8PACTU; DigiKey     ; $0.17/1, $0.113/10, $0.0676/50;             ;             ;             ;             
| C31        0.1uF       ; Kemet       ; C0603C104K4RACTU; DigiKey     ; $0.10/1, $0.022/10, $0.0118/50;             ;             ;             ;             
| C32        10uF        ; Kemet       ; C0805C106Z8VACTU; DigiKey     ; $0.16/1, $0.111/10, $0.063/50;             ;             ;             ;             
| C33        0.1uF       ; Kemet       ; C0603C104K4RACTU; DigiKey     ; $0.10/1, $0.022/10, $0.0118/50;             ;             ;             ;             
| C34        0.1uF       ; Kemet       ; C0603C104K4RACTU; DigiKey     ; $0.10/1, $0.022/10, $0.0118/50;             ;             ;             ;             
| C35        0.1uF       ; Kemet       ; C0603C104K4RACTU; DigiKey     ; $0.10/1, $0.022/10, $0.0118/50;             ;             ;             ;             
| C36        0.1uF       ; Kemet       ; C0603C104K4RACTU; DigiKey     ; $0.10/1, $0.022/10, $0.0118/50;             ;             ;             ;             
| D1         RED         ; Kingbright Company LLC; APT1608SRCPRV; DigiKey     ; $0.17/1, $0.131/10, $0.1044/25;             ;             ;             ;             
| D2         GREEN       ; Kingbright Company LLC; APT1608SGC  ; DigiKey     ; $0.16/1, $0.117/10, $0.0936/25;             ;             ;             ;             
| P1         WP          ;             ;             ;             ;             ;             ;             ;             ;             
| P2         CONN_12     ; Sullins Connector Solutions; PPPC121LGBN-RC; DigiKey     ; $1.01/1, $0.84/10, $0.7776/25;             ;             ;             ;             
| P3         CONN_5X2    ; FCI         ; 68602-110HLF; DigiKey     ; $0.33/1, $0.308/10, $0.2644/25;             ;             ;             ;             
| P4         BTRST       ;             ;             ;             ;             ;             ;             ;             ;             
| P5         GND         ;             ;             ;             ;             ;             ;             ;             ;             
| P6         5VD         ;             ;             ;             ;             ;             ;             ;             ;             
| P7         3V3         ;             ;             ;             ;             ;             ;             ;             ;             
| P8         5VA         ;             ;             ;             ;             ;             ;             ;             ;             
| R1         4.7K        ; Stackpole Electronics; RMCF0603JT4K70; DigiKey     ; $0.02/1, $0.017/10, $0.0092/50;             ;             ;             ;             
| R2         4.7K        ; Stackpole Electronics; RMCF0603JT4K70; DigiKey     ; $0.02/1, $0.017/10, $0.0092/50;             ;             ;             ;             
| R3         4.7K        ; Stackpole Electronics; RMCF0603JT4K70; DigiKey     ; $0.02/1, $0.017/10, $0.0092/50;             ;             ;             ;             
| R4         10K         ; Stackpole Electronics; RMCF0603JT10K0; DigiKey     ; $0.02/1, $0.017/10, $0.0092/50;             ;             ;             ;             
| R5         5.6K        ; Stackpole Electronics; RMCF0603JT5K60; DigiKey     ; $0.02/1, $0.017/10, $0.0092/50;             ;             ;             ;             
| R6         5.6K        ; Stackpole Electronics; RMCF0603JT5K60; DigiKey     ; $0.02/1, $0.017/10, $0.0092/50;             ;             ;             ;             
| R7         10K         ; Stackpole Electronics; RMCF0603JT10K0; DigiKey     ; $0.02/1, $0.017/10, $0.0092/50;             ;             ;             ;             
| R8         10K         ; Stackpole Electronics; RMCF0603JT10K0; DigiKey     ; $0.02/1, $0.017/10, $0.0092/50;             ;             ;             ;             
| R9         499K,0.1%   ; Stackpole Electronics; RNCS0805BKE499K; DigiKey     ; $0.77/1, $0.523/10, $0.3162/50;             ;             ;             ;             
| R10        10K         ; Stackpole Electronics; RMCF0603JT10K0; DigiKey     ; $0.02/1, $0.017/10, $0.0092/50;             ;             ;             ;             
