Item Value,Count,Reference,Manufacturer, Distributor ,PN,Description,Note
1.5nF,1,C19,,Digi-Key,04025C152JAT2A,CAP CER 1500PF 50V 5% X7R 0402,
4.7nF,2,C13 C14,,Digi-Key,CL05B472KB5NNNC,CAP CER 4700PF 50V 10% X7R 0402,
0.01uF,1,C10,,Digi-Key,C0402C103K4RACTU,CAP CER 10000PF 16V 10% X7R 0402, Need to order 
0.1uF,10,C1 C2 C3 C5 C15 C20 C21 C9 C23 C25,,Digi-Key,CL05A104MP5NNNC,CAP CER 0.1UF 10V 20% X5R 0402,
1uF,4,C17 C18 C22 C24,,Digi-Key,JMK105BJ105KV-F,CAP CER 1UF 6.3V 10% X5R 0402,
2.2uF,1,C12,,Digi-Key,C0402C225M9PACTU,CAP CER 2.2UF 6.3V 20% X5R 0402, Need to order 
4.7uF,2,C4 C8,,Digi-Key,GRM155R60J475ME47D,CAP CER 4.7UF 6.3V 20% X5R 0402, Need to order 
10uF,2,C11 C16,,Digi-Key,CL10A106MQ8NNNC,CAP CER 10UF 6.3V 20% X5R 0603,
CHG,1,D1,,Digi-Key,APT1608SGC,LED 1.6X0.8MM 568NM GRN CLR SMD,
SCHOTTKY,1,D2,,Digi-Key,VS-10BQ015-M3/5BT,DIODE SCHOTTKY 15V 1A SMB,
RED,1,D3,,Digi-Key,APT1608SRCPRV,LED 1.6X0.8MM 640NM RED CLR SMD,
BLM18PG121SN1,1,FB1,,Digi-Key,BLM18PG121SN1D,FERRITE CHIP 120 OHM 2000MA 0603,
10uH,1,L1,,Digi-Key,MLZ1608E100M,INDUCTOR MULTILAYER 10UH 0603,
BATT,1,P1,,Digi-Key,S2B-PH-SM4-TB(LF)(SN),CONN HEADER PH SIDE 2POS 2MM SMD,
USB,1,P2,,Digi-Key,690-005-299-043,CONN MINI USB RCPT RA TYPE B SMD,
ICSP,1,P3,,Digi-Key,67996-206HLF,CONN HEADER 6POS .100 STR 15AU,
2.2k,2,R4 R7,,Digi-Key,RMCF0402FT2K20,RES 2.2K OHM 1/16W 1% 0402,
10k,4,R3 R5 R9 R10,,Digi-Key,RMCF0402JT10K0,RES 10K OHM 1/16W 5% 0402,
51k,1,R8,,Digi-Key,RMCF0402FT51K0,RES 51K OHM 1/16W 1% 0402,
1M,2,R2 R12,,Digi-Key,RMCF0402JT1M00,RES 1M OHM 1/16W 5% 0402,
2.2M,1,R1,,Digi-Key,RC1005F225CS,RES 2.2M OHM 1/16W 1% 0402,
CHG/ON,1,S2,,Digi-Key,JS102011SAQN,SWITCH SLIDE 1PDT 6VDC 0.3A SMT,
ADS1291,1,U5,,Digi-Key,ADS1291IRSMT,IC AFE 24BIT 8KSPS 1CH 32VQFN, Need to order 
ATMEGA328P,1,U1,,Digi-Key,ATMEGA328P-MUR,IC MCU 8BIT 32KB FLASH 32QFN, Need to order 
MCP73831T-DFN,1,U2,,Mouser,MCP73831T-2ACI/MC,Battery Management Charge mgnt contr, Need to order 
TPS73233,1,U3,,Digi-Key,TPS73233DBVT,IC REG LDO 3.3V 0.25A SOT23-5,
BLUETOOTH-RN42,1,U4,,Digi-Key,RN42-I/RM,MODULE BLUETOOTH V2.1+EDR, Need to order 
ADXL362,1,U6,,Digi-Key,ADXL362BCCZ-RL7,IC ACCEL DIG LO PWR 3AX 16LGA, Need to order 
RESONATOR,1,Y1,,Digi-Key,CSTCE8M00G52-R0,CER RESONATOR,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
